ID,SN,TEST,DAY,@TIME,TESTVERSION,STATUS,FIRST,LAST,SHIFT,FAMILY,Calibration,@TABLE,RESULTNUM1,X1,RESULTNUM2,X2,RESULTNUM3,X3,RESULTNUM4,X4,RESULTNUM5,X5,RESULTNUM6,X6,RESULTNUM7,X7,RESULTNUM8,X8,RESULTNUM9,X9,RESULTNUM10,X10,RESULTNUM11,X11,RESULTNUM12,X12,RESULTNUM13,X13,RESULTNUM14,X14,RESULTNUM15,X15,RESULTNUM16,X16,RESULTNUM17,X17,RESULTNUM18,X18,RESULTNUM19,X19,RESULTNUM20,X20,RESULTNUM21,X21,RESULTNUM22,X22,RESULTNUM23,X23,RESULTNUM24,X24,RESULTNUM25,X25,RESULTNUM26,X26,RESULTNUM27,X27,RESULTNUM28,X28
1,DRW371702111,BT_914mm_NewBT,20170915,171553,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,4.3,BTFrontBigError_20N,0.1,BTFrontBigError_15N ,-6.1,BTFrontBigError_30N,7.2,AccBTFrontBigError_25N,-10.3,DecBTFrontBigError_30N,-0.3,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,78.7,BTRearBigError_25N,28.5,BTBTRearBigError_20N,41.0,BTBTRearBigError_15N ,52.5,BTBTRearBigError_30N,24.5,AccBTRearBigError_25N,35.1,DecBTRearBigError_30N,6.5,RADIUS_REAR_SMALL_ROLL,63.5,BTRearSmallError_25N,1.4,BTRearSmallError_20N,-1.7,BTRearSmallError_15N,0.0,BTRearSmallError_30N,5.0,AccBTRearSmallError_25N,-8.2,DecBTRearSmallError_30N,-4.8
2,DRW371702111,BT_914mm_NewBT,20170915,172743,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,4.3,BTFrontBigError_20N,0.1,BTFrontBigError_15N ,-6.1,BTFrontBigError_30N,7.2,AccBTFrontBigError_25N,-10.3,DecBTFrontBigError_30N,-0.3,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,74.4,BTRearBigError_25N,45.7,BTBTRearBigError_20N,50.3,BTBTRearBigError_15N ,75.0,BTBTRearBigError_30N,46.6,AccBTRearBigError_25N,6.9,DecBTRearBigError_30N,31.0,RADIUS_REAR_SMALL_ROLL,63.5,BTRearSmallError_25N,1.4,BTRearSmallError_20N,-1.7,BTRearSmallError_15N,0.0,BTRearSmallError_30N,5.0,AccBTRearSmallError_25N,-8.2,DecBTRearSmallError_30N,-4.8
3,DRW371702111,BT_914mm_NewBT,20170915,172931,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,4.3,BTFrontBigError_20N,0.1,BTFrontBigError_15N ,-6.1,BTFrontBigError_30N,7.2,AccBTFrontBigError_25N,-10.3,DecBTFrontBigError_30N,-0.3,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,63.5,BTRearSmallError_25N,1.4,BTRearSmallError_20N,-1.7,BTRearSmallError_15N,0.0,BTRearSmallError_30N,5.0,AccBTRearSmallError_25N,-8.2,DecBTRearSmallError_30N,-4.8
7,DRW371702111,BT_914mm_NewBT,20170921,114255,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,70.0,BTFrontBigError_25N,16.1,BTFrontBigError_20N,17.3,BTFrontBigError_15N ,16.4,BTFrontBigError_30N,16.9,AccBTFrontBigError_25N,-8.4,DecBTFrontBigError_30N,2.9,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
8,DRW371702111,BT_914mm_NewBT,20170921,114719,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,70.0,BTFrontBigError_25N,16.1,BTFrontBigError_20N,17.3,BTFrontBigError_15N ,16.4,BTFrontBigError_30N,16.9,AccBTFrontBigError_25N,-8.4,DecBTFrontBigError_30N,2.9,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
9,DRW371702111,BT_914mm_NewBT,20170921,114808,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,70.0,BTFrontBigError_25N,16.1,BTFrontBigError_20N,17.3,BTFrontBigError_15N ,16.4,BTFrontBigError_30N,16.9,AccBTFrontBigError_25N,-8.4,DecBTFrontBigError_30N,2.9,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
10,DRW371702111,BT_914mm_NewBT,20170921,114921,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,70.0,BTFrontBigError_25N,16.1,BTFrontBigError_20N,17.3,BTFrontBigError_15N ,16.4,BTFrontBigError_30N,16.9,AccBTFrontBigError_25N,-8.4,DecBTFrontBigError_30N,2.9,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
12,DRW371702111,BT_914mm_NewBT,20170921,120723,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,19.8,BTFrontBigError_20N,17.0,BTFrontBigError_15N ,17.8,BTFrontBigError_30N,19.7,AccBTFrontBigError_25N,-2.8,DecBTFrontBigError_30N,7.9,RADIUS_FRONT_SMALL_ROLL,65.6,BTFrontSmallError_25N,18.6,BTFrontSmallError_20N,18.1,BTFrontSmallError_15N,15.0,BTFrontSmallError_30N,18.5,AccBTFrontSmallError_25N,5.4,DecBTFrontSmallError_30N,9.1,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
13,DRW371702111,BT_914mm_NewBT,20170921,120944,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,19.8,BTFrontBigError_20N,17.0,BTFrontBigError_15N ,17.8,BTFrontBigError_30N,19.7,AccBTFrontBigError_25N,-2.8,DecBTFrontBigError_30N,7.9,RADIUS_FRONT_SMALL_ROLL,67.5,BTFrontSmallError_25N,-95.6,BTFrontSmallError_20N,-94.5,BTFrontSmallError_15N,-92.8,BTFrontSmallError_30N,-96.4,AccBTFrontSmallError_25N,NaN,DecBTFrontSmallError_30N,NaN,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
14,DRW371702111,BT_914mm_NewBT,20170921,121133,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,68.0,BTFrontBigError_25N,19.8,BTFrontBigError_20N,17.0,BTFrontBigError_15N ,17.8,BTFrontBigError_30N,19.7,AccBTFrontBigError_25N,-2.8,DecBTFrontBigError_30N,7.9,RADIUS_FRONT_SMALL_ROLL,67.9,BTFrontSmallError_25N,-94,BTFrontSmallError_20N,-92.6,BTFrontSmallError_15N,-90.2,BTFrontSmallError_30N,-95.1,AccBTFrontSmallError_25N,NaN,DecBTFrontSmallError_30N,NaN,RADIUS_REAR_BIG_ROLL,72.5,BTRearBigError_25N,49.6,BTBTRearBigError_20N,56.4,BTBTRearBigError_15N ,70.8,BTBTRearBigError_30N,47.4,AccBTRearBigError_25N,13.1,DecBTRearBigError_30N,27.1,RADIUS_REAR_SMALL_ROLL,72.5,BTRearSmallError_25N,NaN,BTRearSmallError_20N,NaN,BTRearSmallError_15N,NaN,BTRearSmallError_30N,NaN,AccBTRearSmallError_25N,NaN,DecBTRearSmallError_30N,NaN
