SN,day,time,datetime,A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,A_R2R2W_RollSpeed_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,A_R2R2W_RollSpeed_Rear,KM_Rear,KM_DEV_Rear
DRW091810461,20180302,1711,2018030201711,0.390513,0.000601,128.379043,0.0,0.04195,0.037106,0.46886099999999997,0.000664,89.051406,0.0,0.042561,0.053676999999999996
DRW091810471,20180302,3725,2018030203725,0.348259,0.000509,129.046143,0.0,0.041847,0.05230800000000001,0.33855799999999997,0.000449,86.57981,0.0,0.041813,0.041948
DRW391710071,20170922,105735,20170922105735,0.407983,0.000620,53.861514,0.0,0.041439,0.031839,0.447917,0.001068,72.697784,0.0,0.041714999999999995,0.033923
DRW131300011,20170926,91415,20170926091415,0.101011,0.000571,56.738101,0.0,0.041158999999999994,0.018542,0.155693,0.00040899999999999997,65.160779,0.0,0.040837,0.023888999999999997
DRW381700121,20170926,101728,20170926101728,0.372220,0.000876,115.867352,0.0,0.04137,0.034078,0.400256,0.001093,94.39041800000001,0.0,0.041121,0.084587
DRW391700001,20170926,121957,20170926121957,0.386216,0.000631,76.627232,0.0,0.041407,0.034477999999999995,0.3844,0.0009029999999999999,79.220271,0.0,0.042135,0.032906
DRW391700041,20170926,170132,20170926170132,0.392709,0.001077,97.806584,0.0,0.041682,0.039353,0.308843,0.0008089999999999999,93.365844,0.0,0.041533999999999995,0.024458
DRW391700031,20170927,165529,20170927165529,0.385179,0.000951,81.578603,0.0,0.041386,0.058467,0.375101,0.000935,97.857084,0.0,0.04144,0.055852
DRW391700021,20170927,181555,20170927181555,0.449217,0.000892,83.218894,0.0,0.041487,0.040916,0.377681,0.000634,78.569857,0.0,0.04141,0.041181999999999996
DRW391700011,20170927,185901,20170927185901,0.514537,0.000772,59.320088,0.0,0.041791,0.044879,0.43690100000000004,0.000995,91.959375,0.0,0.041875,0.022887
DRW381700111,20170928,95311,20170928095311,0.410533,0.001045,130.643008,0.0,0.041845,0.071051,0.450561,0.000949,99.096253,0.0,0.041953,0.009243000000000001
DRW391710021,20170928,162636,20170928162636,0.373776,0.000921,94.511528,0.0,0.041983,0.037544,0.45104700000000003,0.0009689999999999999,81.454951,0.0,0.041807,0.01589
DRW391710011,20170928,173111,20170928173111,0.341193,0.000755,114.185955,0.0,0.041149,0.050269,0.513763,0.001078,96.84776,0.0,0.041966,0.047764
DRW391710031,20170929,90107,20170929090107,0.380948,0.000933,82.606602,0.0,0.041642,0.028881,0.375052,0.000795,106.838349,0.0,0.041239,0.040070999999999996
DRW391710051,20170929,115916,20170929115916,0.336111,0.000773,74.019056,0.0,0.041081,0.031883,0.33307,0.000863,79.492879,0.0,0.041533999999999995,0.043301
DRW391710061,20170929,155252,20170929155252,0.385335,0.000833,96.109717,0.0,0.041183,0.057823,0.395919,0.000933,109.469843,0.0,0.041185,0.065772
DRW391710101,20170929,165243,20170929165243,0.377913,0.000814,91.046188,0.0,0.041358,0.048823000000000005,0.427908,0.001108,81.743913,0.0,0.041101,0.054965999999999994
DRW391710041,20170929,174329,20170929174329,0.297658,0.000647,77.428151,0.0,0.040827999999999996,0.020131,0.440675,0.000908,74.111214,0.0,0.041451,0.054792999999999994
DRW391710081,20171002,114437,20171002114437,0.389021,0.000862,54.812826,0.0,0.04138,0.043902,0.368298,0.001048,61.728919999999995,0.0,0.041365,0.050121
DRW391710091,20171002,143531,20171002143531,0.218927,0.000874,76.381697,0.0,0.041184,0.068941,0.404624,0.001024,71.47066,0.0,0.041003,0.036807
DRW401710011,20171002,150530,20171002150530,0.506620,0.001123,84.509004,0.0,0.04136,0.074459,0.39958699999999997,0.000884,110.11506299999999,0.0,0.04217,0.027462
DRW401710021,20171002,164618,20171002164618,0.332461,0.000943,96.513823,0.0,0.041665,0.030113,0.37588499999999997,0.000817,88.436132,0.0,0.041531,0.033823
DRW401710031,20171003,90527,20171003090527,0.306719,0.000935,108.466596,0.0,0.041677,0.035519,0.314688,0.001029,83.073142,0.0,0.041116,0.038307
DRW401710041,20171003,110555,20171003110555,0.463710,0.000834,80.844980,0.0,0.041683,0.038176,0.433642,0.000826,66.223034,0.0,0.042102999999999995,0.036132
DRW401710061,20171003,133304,20171003133304,0.368679,0.000977,78.254152,0.0,0.041815,0.058433000000000006,0.41352700000000003,0.00072,75.230046,0.0,0.041030000000000004,0.030524000000000003
DRW401710071,20171003,150139,20171003150139,0.429005,0.000666,104.728758,0.0,0.041741,0.014768,0.41448199999999996,0.0008619999999999999,87.164144,0.0,0.041401,0.045193000000000004
DRW401710081,20171003,160544,20171003160544,0.410257,0.000891,69.663622,0.0,0.041158999999999994,0.047376,0.34531799999999996,0.0008230000000000001,89.17627399999999,0.0,0.041176,0.057576
DRW401710091,20171004,75430,20171004075430,0.410897,0.000896,84.517070,0.0,0.04156,0.013687000000000001,0.330952,0.001007,92.081812,0.0,0.041617,0.030775
DRW401710101,20171004,101257,20171004101257,0.362540,0.000909,86.659372,0.0,0.041487,0.015065,0.5373829999999999,0.000947,71.099041,0.0,0.041244,0.055800999999999996
DRW401710111,20171004,112947,20171004112947,0.442308,0.000849,123.918191,0.0,0.041402999999999995,0.035337,0.536695,0.0008029999999999999,103.201289,0.0,0.042027999999999996,0.036459
DRW401710121,20171004,132918,20171004132918,0.281911,0.000900,114.647964,0.0,0.041319999999999996,0.019062,0.435777,0.000989,109.16253700000001,0.0,0.041749,0.043242
DRW401710131,20171004,142746,20171004142746,0.500090,0.000851,101.669401,0.0,0.042118,0.025532,0.392565,0.000735,136.041026,0.0,0.041883,0.033748
DRW401710141,20171004,162634,20171004162634,0.373673,0.000835,124.946964,0.0,0.041668000000000004,0.0013039999999999998,0.361163,0.0008029999999999999,108.335872,0.0,0.04152,0.036576
DRW401710151,20171005,81843,20171005081843,0.300772,0.000708,86.423450,0.0,0.041553,0.017994,0.614751,0.0009660000000000001,114.844325,0.0,0.042105000000000004,0.045958
DRW401710161,20171005,101819,20171005101819,0.362916,0.000833,98.033335,0.0,0.041535,0.020056,0.321588,0.000745,126.50051100000002,0.0,0.041625999999999996,0.022645
DRW381700101,20171005,111447,20171005111447,0.311081,0.000963,94.266876,0.0,0.041212,0.055182,0.325916,0.0009400000000000001,124.649272,0.0,0.040901,0.020577
DRW401710171,20171005,115619,20171005115619,0.348220,0.000785,92.965826,0.0,0.041808,0.0401,0.365494,0.000722,118.36756899999999,0.0,0.041986,0.037722000000000006
DRW401710181,20171005,134632,20171005134632,0.465726,0.001086,101.418672,0.0,0.041579000000000005,0.050047,0.418969,0.0007570000000000001,102.326335,0.0,0.041609,0.027926999999999997
DRW401710191,20171005,141538,20171005141538,0.441261,0.000577,92.867039,0.0,0.042097,0.025182,0.435601,0.000992,87.461173,0.0,0.041913,0.039516
DRW401710201,20171005,153222,20171005153222,0.475415,0.000991,98.708723,0.0,0.041718,0.024852000000000003,0.39268200000000003,0.000874,123.822496,0.0,0.041750999999999996,0.020942
DRW401710211,20171005,161445,20171005161445,0.410685,0.000779,97.167220,0.0,0.041218,0.031186000000000002,0.368109,0.001004,126.09121100000002,0.0,0.04149,0.058115
DRW401710221,20171006,75449,20171006075449,0.453097,0.000996,100.180277,0.0,0.041793000000000004,0.045322,0.425442,0.0008179999999999999,100.551895,0.0,0.041397,0.041767
DRW401710231,20171006,105236,20171006105236,0.460249,0.001047,94.545672,0.0,0.041763,0.025222,0.339423,0.000799,125.980157,0.0,0.041371,0.028194
DRW401710241,20171006,114201,20171006114201,0.443271,0.000985,97.653430,0.0,0.041936,0.044231,0.48213999999999996,0.000828,105.131647,0.0,0.041556,0.043438
DRW401710251,20171006,140413,20171006140413,0.567570,0.001205,127.642106,0.0,0.041852999999999994,0.04446,0.426048,0.000755,125.200124,0.0,0.041569,0.029227
DRW401710261,20171006,153542,20171006153542,0.348519,0.000840,84.633650,0.0,0.041855,0.054491,0.368655,0.0007160000000000001,120.843143,0.0,0.041913,0.035457999999999996
DRW401710271,20171006,165118,20171006165118,0.347737,0.000872,100.018060,0.0,0.042143,0.042413,0.340147,0.000813,123.447453,0.0,0.041776,0.042533999999999995
DRW401710281,20171009,80952,20171009080952,0.354370,0.000651,107.924584,0.0,0.041672,0.034806000000000004,0.444316,0.0008300000000000001,99.006415,0.0,0.042128,0.041589999999999995
DRW401710291,20171009,102530,20171009102530,0.361567,0.000799,116.091340,0.0,0.041794,0.049706,0.370246,0.001018,114.65481399999999,0.0,0.04133,0.029241000000000003
DRW411710311,20171009,134427,20171009134427,0.376397,0.000581,79.733000,0.0,0.041757999999999997,0.028332999999999997,0.369229,0.000826,87.02668,0.0,0.041963,0.030789999999999998
DRW411710321,20171009,144025,20171009144025,0.458233,0.000672,88.524755,0.0,0.041723,0.026189999999999998,0.40018200000000004,0.00073,97.91255600000001,0.0,0.041418,0.021149
