SN,day,time,datetime,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR
DRW091810461,20180302,2125,2018030202125,1.370314,-37.246261,0.999998,9.075283,1.3722290000000001,-45.169482,0.9999790000000001,9.176036999999999
DRW091810471,20180302,4245,2018030204245,1.374144,-28.468581,0.999986,9.075158,1.370026,-40.57786,0.999983,9.174968
DRW391710071,20170922,110114,20170922110114,1.335473,-38.879725,0.999897,9.076344,1.3771,-38.177445,0.9999969999999999,9.179953
DRW131300011,20170926,92330,20170926092330,1.329452,-35.662015,0.999977,9.075938,1.35714,-49.020298,0.999977,9.180914999999999
DRW381700121,20170926,102731,20170926102731,1.330637,-36.047478,0.999992,9.075635,1.34832,-40.713569,0.9999959999999999,9.179063000000001
DRW391700001,20170926,122825,20170926122825,1.331818,-32.805212,0.999993,9.075598,1.379523,-58.649253,0.9999950000000001,9.156949000000001
DRW391700041,20170926,170529,20170926170529,1.344652,-34.684271,0.999985,9.074561,1.357543,-39.693540000000006,0.999985,9.173117999999999
DRW391700031,20170927,165903,20170927165903,1.338392,-38.048563,1.000000,9.075206,1.34855,-43.472871999999995,0.999949,9.176651
DRW391700021,20170927,181935,20170927181935,1.341331,-32.389799,0.999999,9.073036,1.348241,-35.598377,1.0,9.172396
DRW391700011,20170927,190217,20170927190217,1.348511,-35.207341,0.999989,9.075273,1.370066,-37.033446999999995,0.9999950000000001,9.176147
DRW391710021,20170928,163014,20170928163014,1.337583,-35.964199,0.999978,9.075733,1.358422,-40.033938,0.999999,9.178558
DRW391710011,20170928,173432,20170928173432,1.331107,-31.581471,0.999981,9.075873,1.369648,-36.512309,0.999999,9.176059
DRW391710031,20170929,90508,20170929090508,1.350667,-34.819974,0.999998,9.076157,1.357358,-41.544045000000004,0.999992,9.177317
DRW391710051,20170929,120313,20170929120313,1.339543,-34.974110,0.999994,9.076157,1.361319,-38.686411,0.9999959999999999,9.176747
DRW391710061,20170929,155638,20170929155638,1.344145,-27.134494,1.000000,9.074775,1.358719,-38.778713,0.999993,9.177348
DRW391710101,20170929,165626,20170929165626,1.342596,-32.288673,0.999999,9.076292,1.359214,-41.488879,0.999999,9.173536
DRW391710041,20170929,174649,20170929174649,1.348151,-33.512118,1.000000,9.075308,1.345353,-43.689375,0.999999,9.177655999999999
DRW391710081,20171002,114750,20171002114750,1.356701,-29.952814,0.999999,9.076658,1.358684,-41.181642,0.999974,9.17737
DRW391710091,20171002,143934,20171002143934,1.348476,-32.592272,0.999995,9.074816,1.369427,-43.136526,0.999978,9.177848
DRW401710011,20171002,150951,20171002150951,1.342325,-36.814429,0.999982,9.076137,1.356168,-42.075722,0.999973,9.17734
DRW401710021,20171002,164934,20171002164934,1.345140,-31.631948,1.000000,9.076386999999999,1.363679,-38.212322,1.0,9.17729
DRW401710031,20171003,90907,20171003090907,1.329123,-32.552093,0.999999,9.076137,1.345006,-43.044265,0.999951,9.178916000000001
DRW401710041,20171003,111149,20171003111149,1.354505,-33.505937,1.000000,9.076407000000001,1.3650209999999998,-38.89327,0.999986,9.179542
DRW401710061,20171003,133721,20171003133721,1.355164,-30.132649,0.999984,9.075402,1.3561860000000001,-37.622899,0.9999959999999999,9.173561
DRW401710071,20171003,150542,20171003150542,1.363911,-32.462810,0.999980,9.067476,1.3555840000000001,-43.192414,0.999977,9.176012
DRW401710081,20171003,160945,20171003160945,1.354845,-27.665207,0.999968,9.069782,1.342174,-37.190625,0.9999870000000001,9.175927
DRW401710091,20171004,75916,20171004075916,1.353731,-33.473356,0.999971,9.075402,1.365916,-40.26811,0.999999,9.175735000000001
DRW401710101,20171004,101647,20171004101647,1.349844,-26.083936,0.999990,9.074686999999999,1.367892,-38.5811,0.9999809999999999,9.178455
DRW401710111,20171004,113356,20171004113356,1.354613,-34.787117,0.999999,9.076532,1.357903,-39.842040000000004,0.999983,9.175405
DRW401710121,20171004,133346,20171004133346,1.340502,-39.855638,0.999997,9.076491,1.358722,-41.240087,0.9999879999999999,9.177433
DRW401710131,20171004,143123,20171004143123,1.342268,-41.042183,0.999987,9.075347,1.358694,-36.622053,0.999977,9.177069
